narrator,movie opens with a 4 year-old Peter Parker playing hide and seek and looking for his father
Peter Parker,No. I got it. [he quickly picks up a badge for Rodrigo Guevara]
Receptionist,"Okay, Mr. Guevara."
Peter Parker,Gracias. [as Peter heads upstairs in OsCorp Tower he finds the group of interns gather and Gwen introducing herself to them]
Gwen Stacy,"Welcome to OsCorp. My name is Gwen Stacy, Im a senior at Midtown Science and Im also head intern to Dr. Connors, so Ill be with you for the duration of your visit. Where I go, you go. Thats the basic rule. If you remember that, all will be fine. If you forget that, then... [at that moment we hear the real Rodrigo Guevara shouting his name as hes being dragged away by security] Well, I guess I dont need to tell you what happens if you forget that. Shall we. [Peter tries to hide his face and stay in the back as Gwen gives the interns a tour of OsCorp] [as Gwen takes the interns to a lab in OsCorp, with Peter hiding in the back of the group, Connors appears and addresses the interns]"
Dr. Curt Connors,"Welcome, my name is Dr. Curtis Connors. And yes, in case youre wondering, Im a southpaw. [the interns laugh] Im not a cripple, Im a former scientist and Im the worlds foremost authority on herpetology. Thats reptiles, for those of you who dont know. But like the Parkinsons patient who watches on in horror as her body slowly betrays her, or the man with macular degeneration whos eyes grow dimer each day, I long to fix myself. I want to create a world without weakness. Anyone care to venture a guess just how? [one of the interns puts up their hand] Yes?"
OsCorp Intern,Stem cells?
Dr. Curt Connors,"Promising, but the solution Im thinking of is more radical. [the interns all look at each other] No one?"
Peter Parker,"Cross-species genetics. [everyone turns and looks at Peter at the back of the group, Gwen looks at her list of intern names] A person gets Parkinsons when the brain cells that produce dopamine start to disappear. But the zebrafish has the ability to regenerate cells on command. If you can somehow give this ability to the woman youre talking about, thats that. Shes...shes curing herself."
OsCorp Intern,"Yeah, you just have to look past the gills on her neck. [the other interns laugh]"
Dr. Curt Connors,And you are?
Gwen Stacy,Hes one of Midtown Sciences best and brightest.
Dr. Curt Connors,Really?
Gwen Stacy,Hmm. Hes second in his class.
Dr. Curt Connors,Oh.
Peter Parker,Second?
Gwen Stacy,Yeah.
Peter Parker,You sure about that?
Gwen Stacy,"Im pretty sure. [at that moment Connors phone rings and he excuses himself and leaves the interns with Gwen] [after Connors leaves, Peter tries to sneak away but Gwen stops him] Hi. How you doin, Rodrigo? [Peter looks at his badge and realizes that shes referring to the name on his badge]"
Peter Parker,"Oh, yeah."
Gwen Stacy,What are you doing here?
Peter Parker,"I work here. I dont work here. I was gonna say...I was gonna say I work here, but I seems like in fact you work here. So you know that I dont in fact work here."
Gwen Stacy,Are you following me?
Peter Parker,"No, Im not following...Im not following you. No, Im not. I had no idea worked here."
Gwen Stacy,Then why would you be here?
Peter Parker,"I just snuck in because, I love science."
Gwen Stacy,You love science?
Peter Parker,I am passionate about it.
Gwen Stacy,So you snuck in. I have to lead this tour group.
Peter Parker,I know.
Gwen Stacy,So Im gonna ask you more about this later. Do not get me in trouble.
Peter Parker,"I promise you, I wont."
Gwen Stacy,"Stay with the group. [as Gwen heads back to take the interns round the building, Peter tries to sneak off but bumps into Rajit Ratha, who drops a file that has the same double zero symbol that Peter saw in his fathers file]"
Dr. Curt Connors,"We received the results from the MRNA sequences, they were disappointing."
Rajit Ratha,So define disappointing.
Dr. Curt Connors,Im at a dead end. Its the Decay Rate Algorithm. But this is to be expected.
Rajit Ratha,Expected? You said you were close.
Dr. Curt Connors,"We are close, but its gonna take time."
Rajit Ratha,"He doesnt have time. Norman Osborn is dying, Dr. Connors. Save him, or well both lose our heads. [as Peter goes back to rejoin the intern group, Gwen notices that hed snuck off again]"
Peter Parker,I...
Gwen Stacy,"Give me the badge. Give it to me. [Peter reluctantly takes the badge off, as he does this we one of the spider from the lab crawling on the back of Peters coat collar, Peter gives the badge back to Gwen]"
Peter Parker,"Sorry. [as Gwen turns to leave, suddenly Peter is bit on the back of his neck by the spider] [after getting bit by the spider, Peters leaves OsCorp and takes a ride on the subway and falls asleep, a thug seeing Peter asleep decides to balance a beer bottle on Peters forehead, when a drop of condensation touches Peters skin, he suddenly springs awake and lands on the subway car ceiling, hanging upside down and then falls down, then as the beer had spilled on the thugs girlfriend she starts complaining]"
Girl on Subway,Disgusting! Now I smell like beer!
Peter Parker,Im sorry. I didnt mean to do that. I...I uh...I [as Peter tries to apologize to her his hand sticks to her shirt]
Subway Guy,Get your hand off her!
Peter Parker,Im trying...to get my hand... [the thug gets angry and pushes Peter which tears his girlfriends shirt right off]
Subway Guy,Are you kidding?
Peter Parker,Im sorry.
Subway Guy,"Are you freaking kidding me? [the thug gets angry and tries to attack Peter, but suddenly Peter is fast with incredible reflexes and moves so fast that the thug falls and hurts himself]"
Peter Parker,"Im sorry! Oh, man, are you alright? [Peter senses the other thugs moving to attack him and he quickly lifts his legs and knocks them out] [after the subway incident, Peter runs home and sees his aunt and uncle waiting up for him]"
Peter Parker,"Hey, sorry, Im late. I uh..."
Aunt May,We were so worried!
Peter Parker,"I know, Im sorry. Watch...! [suddenly Peter sees a fly and quickly captures it with his hand]"
Aunt May,"Thats a fly, Peter. [Peter looks at the fly and then lets it go]"
Peter Parker,"Yeah. Im so sorry I kept you guys up. Im insensitive, Im irresponsible. And Im hungry! [Peter goes into the kitchen and takes out a plate of food from the fridge and starts eating]"
Aunt May,Is he okay?
Uncle Ben,I dont think so.
Peter Parker,[as hes chomping down the food] This is...this is your meatloaf. This beats all other meatloafs!
Aunt May,[to Ben] Something is very wrong.
Uncle Ben,"Yeah. Nobody likes your meatloaf. [Peters aunt and uncle stare in shock as Peter empties the fridge and heads to his room, May catches one of the items as falls from his arm]"
Aunt May,[to Ben as they watch Peter go upstairs] He took the frozen macaroni and cheese!
Uncle Ben,I noticed that.
Aunt May,Why didnt you tell me you didnt like my meatloaf?
Uncle Ben,Um...
Aunt May,"You could have said that to me thirty seven years ago! How many meatloafs have I made for you?! [in his room, Peter is sweating and touches the spider bite at the back of his neck, he pulls away a thread of silk from which the spider is still clinging onto, the next morning Peter wakes up and not realizing his own strength breaks his alarm clock and his bathroom sink as he tries to brush his teeth, as he heads back to his room he starts hearing the spider thats crawling on his window, scared as whats happening to him he starts to look up spider bites online, after which the keypads on his computer stick to his fingers] [Peter goes to visit Connors at his home]"
Peter Parker,"Dr. Connors, uh...you dont remember me. I uh..."
Dr. Curt Connors,Youre the intern from the other day.
Peter Parker,"Yeah, thats right."
Dr. Curt Connors,"Im sure youre a very nice young man, but this is a home. Id ask you to make an appointment in my office. [as Connors is about the shut the door]"
Dr. Curt Connors,"Peter? [as Connors pours coffee for them] Im afraid I cant help you much, Peter. I dont know why they left or where they were going. [Connors accidently knocks down one of the coffee cups which Peter quickly catches] Good reflexes."
Peter Parker,Thank you. [Peter passes Connors coffee up to him]
Dr. Curt Connors,Thank you.
Peter Parker,I read your book.
Dr. Curt Connors,Oh?
Peter Parker,"Yeah. Its something. So you really think its possible, cross-species genetics?"
Dr. Curt Connors,"Yes, of course. But for years your father and I were mocked for our theories, not just in the community at large, but at OsCorp as well. They called us mad scientists. And then your father bred the spider and everything changed. The results were beyond encouraging, they were spectacular. We were gonna change the live of millions, including my own. Then it was over. He...he was gone, took his research with him. And then I knew without him I...I...I was angry, so I stayed away from you and your family. And for that Im truly sorry."
Peter Parker,Say...say it worked. Say you got it to work. Like how much would the foreign species take over? What...what could the side effects be?
Dr. Curt Connors,"Its hard to say, considering no subjects survived. The problem was always..."
Peter Parker,Decay Rate Algorithm?
Dr. Curt Connors,Right.
Peter Parker,[Peter points to a pencil paper] Right. Can I uh...
Dr. Curt Connors,"Of course. [Peter sits and writes out the algorithm from his fathers notes and passes it to Connors] Extraordinary. How did you come up with this? [Peter points to his head and smiles] Peter, how would you feel about coming to see me at the Tower one day after school?"
Peter Parker,Yeah.
Dr. Curt Connors,Thank you. [after Peter is pulled into the principals office for humiliating Flash whilst playing basketball and shattering the backboard as he dunks the ball over Flashs head]
Peter Parker,I hope theyre not gonna make us pay for the backboard.
Uncle Ben,I dont care about the backboard. Was that true?
Peter Parker,What?
Uncle Ben,"What I heard in there, just now? Did you humiliate that boy?"
Peter Parker,"Yeah, I did. But..."
Uncle Ben,But what?
Peter Parker,This guy...this guy deserved it.
Uncle Ben,Did he?
Peter Parker,Yeah.
Uncle Ben,Is he the kid that hit you? [Peter looks away] Is he?
Peter Parker,"Yeah. Yeah, but..."
Uncle Ben,"So all this is about getting even? If so, I guess you must feel pretty good about yourself now, right? Am I right or wrong? [Peter doesnt reply and looks down] Yeah, I thought so. Well, thanks to this little escapade of yours, I had to change shifts at work. So you have to pick Aunt May tonight at nine oclock, understood? Is that understood?"
Peter Parker,Yeah.
Uncle Ben,"Okay. Good. [as they stand in the school hallway, Ben notices Gwen standing behind them] She looks familiar. [Peter looks back and sees its Gwen] Shes the girl on your computer. Yeah. [to Gwen] Hes got you on his computer. Im his probation officer. [to Peter] Dont forget Aunt May."
Peter Parker,Okay. [Ben walks off and Peter laughs nervously as he turns to Gwen] Hes a character. Hes my uncle. He um...hes a pathological lier and thought you were someone else.
Gwen Stacy,"[jokingly] Oh, man. You dont have me on your computer?"
Peter Parker,"Yeah. Well, I mean like, I had a...I took a photo of the debate team and youre in the debate team, so."
Gwen Stacy,Right.
Peter Parker,"So, he must have seen...um...cause I was touching up stuff."
Gwen Stacy,You were touching up stuff? [they both laugh]
Peter Parker,I was...I was...Im not gonna answer that.
Gwen Stacy,Did you get expelled?
Peter Parker,No. No. I didnt get expelled. I got community service. Um...so uh...you wanna uh...I dont know. Um...
Gwen Stacy,Wanna what?
Peter Parker,"I dont know. Just uh....I dont know. I dont know. We could uh...or we could do something else. Or we could, if you dont like...we could..."
Gwen Stacy,What? Yeah.
Peter Parker,Yeah?
Gwen Stacy,"Yeah, either one."
Peter Parker,Really?
Gwen Stacy,Sure.
Peter Parker,Okay. Good. Sounds good.
Gwen Stacy,Cool.
Peter Parker,"Okay. You know, I cant right now. I cant right now."
Gwen Stacy,"Yeah, I know."
Peter Parker,Im so busy right now.
Gwen Stacy,Me too.
Peter Parker,But uh...maybe uh...
Gwen Stacy,"Yeah, just, you know?"
Peter Parker,Some other...
Gwen Stacy,Time.
Peter Parker,Okay. Alright. [Gwen turns]
Gwen Stacy,"Bye. [Peter watches Gwen as she walks down the hallway and she turns and smiles at him] [after visiting Connors at OsCorp Tower, Peter notices an old piece of equipment in the lab]"
Peter Parker,"I remember that, Ive seen that before."
Dr. Curt Connors,The Ganali Device.
Peter Parker,"Yeah, I remember a picture of that in my dads office."
Dr. Curt Connors,"The idea was so simple, you load it with an antigen, it creates a cloud which can be dispersed over a neighborhood, even an entire city. Theoretically you could cure Polio in an afternoon."
Peter Parker,Its incredible.
Dr. Curt Connors,"Well, others disagreed. You know, what if the device were loaded with a toxin? What if you wanted to opt out? You cant run away from a cloud after all, so here it lies, gathering dust. What you see here is a computer model of lizard. Many of these wonderful creatures are so brilliantly adaptive that they can regenerate entire limbs at will. You can imagine my envy. Were trying to harness this capability in transferring into our host subject, Freddie, the three legged mouse. [to Peter] Enter the algorithm now. [just as Peter is about the enter his fathers algorithm into the computer, he gets a call from his uncle] Do you need to take that? [Peter shakes his head and rejects the call]"
Peter Parker,Okay. Check. See what Im trying to do?
Dr. Curt Connors,Preempt the protein.
Peter Parker,"Preempt the immune response. [after several failed attempts for the mouse to regrow a limb, the computer finally declares the regeneration has been successful and the mouse has regrown a limb]"
Dr. Curt Connors,"Extraordinary. [to Peter] And thank you. [then Connor shows Peter their live mouse test subjects] Meet Fred and Wilma, our three legged mice. [Connor gives one of the mice to Peter]"
Peter Parker,"Hey, buddy. I got you."
Dr. Curt Connors,"Okay. Careful, wouldnt want to inject you by mistake. Human trials arent until next week. [he smiles at Peter and injects the mouse] There. [after his visit at OsCorp, Peter returns home late at night]"
Uncle Ben,"You owe your aunt an apology. Big time! Be a man, get in there an apologize. [they enter the house]"
Peter Parker,"Im sorry, Aunt May. I..."
Aunt May,"Honestly, you dont have to apologize to me."
Uncle Ben,The hell he doesnt!
Aunt May,Ben.
Peter Parker,"Look, Im sorry, Uncle Ben. I uh...I got distracted, I was OsCorp..."
Uncle Ben,"Oh, you got distracted."
Peter Parker,Yeah.
Uncle Ben,"Youre Aunt, my wife, had to walk twelve blocks, alone in the middle of night and then wait in a deserted subway station, because you got distracted."
Aunt May,"Ben, sweetheart, honestly, I am completely capable of walking home by myself..."
Uncle Ben,You will not defend this boy!
Aunt May,Im not defending him!
Uncle Ben,"You are defending him! Listen to me, son."
Peter Parker,"Yeah, go ahead."
Uncle Ben,"Youre a lot like your father. You really are, Peter, and thats a good thing. But your father lived by a philosophy, a principle really. He believed that...that if you could do good things for other people, you had a moral obligation to do those things. Thats what at stake here. Not a choice, responsibility."
Peter Parker,"That is nice. Thats really...thats great. Thats all well and good, so where is he?"
Uncle Ben,What?
Peter Parker,Where is he? Wheres my dad? He didnt think it was his responsibility to be here and tell me this himself?
Uncle Ben,"Oh, come on! How dare you?"
Peter Parker,How dare I? How dare you? [Peter turns and walks out of the house in anger]
Uncle Ben,"Where are you going? Peter, come back here! Please! [as Peter closes the front door, not realizing his own strength, the glass completely shatters, Peter runs off]"
Aunt May,"Ben, leave him alone for a little while. Hell be alright. [Ben goes after Peter, calling out his name, we Peter hiding up a subway pole] [after his angry encounter with his uncle, Peter goes to the grocery store to buy chocolate milk]"
Store Clerk,Thats two-o-seven. [Peters puts his money on the counter but its not enough] Uh...its two-o-seven.
Peter Parker,"Yeah. No, I know."
Store Clerk,"Here, youre holding up the line. [Peter takes pennies from the ""leave a penny, take a penny"" tray to make up the difference] No, you can leave a penny. You cant take a penny."
Peter Parker,What?
Store Clerk,"You cant leave a penny anytime, you have to spend ten dollars to take a penny. Store policy. You gonna pay? Youre holding up my line!"
Peter Parker,I dont have two cents.
Store Clerk,"You cant afford your milk, just step aside. What, daddy didnt give you enough milk money today?"
Peter Parker,"Its two cents, were talking about two cents."
Store Clerk,"Just step aside, kid. [Peter is about to leave when he notices that the next customer deliberately knocks a bunch of stuff off the counter] Really? [as the store clerk bends to collect the stuff off the floor, the customer grabs the cash from the till and tosses the chocolate milk that Peter couldnt buy to Peter before taking off, the store clerk goes after the thief and Peter watches him] Hey, stop! Somebody stop that guy! [to Peter] Hey, kid, a little help?"
Peter Parker,"Not my policy. [Peter turns and walks off, on the other side of the street, Ben hears the store clerk yelling for help, he sees the thief trip and fall, dropping a gun out of his coat, Ben tries to grab the gun but gets shot in the chest, Peter runs to help, but by the time he gets there Ben is dead] [Peter feeling guilty and miserable after his uncles death, listens to the last voice message his uncle had left him]"
Uncle Ben,"Peter, I know things have been difficult lately, and Im sorry about that. I think I know what youre feeling. [after his uncles death, at school, Peter tries to keep his head down]"
Flash Thompson,"Hey, Parker?"
Peter Parker,"Not today, Flash."
Flash Thompson,"Hey, come on, man. I just wanna talk... [as Flash gives Peter a friendly pat on the back, suddenly Peter grabs Flash by the neck and and holds him against the lockers] It feels better, right? Look, your uncle died. Im sorry. I get it. Im sorry. [Peter lets Flash go and begins crying] Okay? [Peter nods his head, walks off and runs into Gwen, who was watching all this]"
Gwen Stacy,"Peter. [she hugs Peter, but he just walks away] [after Peter goes looking for thief that killed his uncle, Peter encounters a thug resembles the thief but after getting into a fight with him and saving him from falling off a building Peter sees that he doesnt have the star tattoo on his wrist and lets him go, as he walks away Peter falls through the roof and lands in a Mexican wresting wring]"
Thug,"I know what you look like! You hear me! Ive seen your face! [Peter looks around him and sees an old Mexican wrestling poster and decides to make himself a mask based on this and as he hones his crime-fighting skills and designs mechanical web-shooters using the industrial spider silk packets from Oscorp] [referring to Peter, whos been intercepting criminals that look like the man that killed his uncle]"
Captain Stacy,You got a description?
Police Officer,"Well, no. He wears a mask."
Captain Stacy,A mask?
Police Officer,"Yeah, and most of his victims are suspects, some of them with serious rap sheets. Theyre calling him a vigilante."
Captain Stacy,"Okay, hes not a vigilante. Hes an anarchist. [just then Peter drops one the criminals he captured in his spider web in front of the police headquarters after this Peter then customizes a spandex suit] [in a parking lot, a car thief brakes into a car, as hes about to start the car, Peter, dressed in his Spider-Man costume interrupts him]"
Spider-Man,"Ahem, you know, in the future, if youre gonna steal cars, dont dress like a car thief, man."
Car Thief,"What, are you a cop?"
Spider-Man,"Really? You seriously think Im a cop? Cop in a skintight red and blue suit? You know, youre...youre...you got a mind of true scholar, sir. [Peter hits him in the face with his web-shooter] [as the car thief pulls a knife on Peter]"
Car Thief,Just let me go.
Spider-Man,"Is that a knife? Is that a real knife? [Spider-Man falls on his knees, pretending to be afraid]"
Car Thief,"Yes, its a real knife."
Spider-Man,"My weakness, its small knives."
Car Thief,Just let me go.
Spider-Man,"Anything, but knives! [suddenly Peter shoots his web-shooter capturing the hand of the thief holding the knife] Oh, its so simple. That was cool, man."
Car Thief,What the hell is this?
Spider-Man,Webbing that I developed myself. I dont think you really wanna know anymore right now.
Car Thief,Come on! Let me go! [Spider-Man shoots his web-shooter again capturing the thiefs other hand in a web]
Spider-Man,"Okay, one second! One second! [Spider-Man pretends to sneeze and shoot another web which lands in the middle of the thiefs crotch]"
Car Thief,"Come on, let me go! [Spider-Man keeps shooting web at the thief] Stop it! [Peter laughs]"
Car Thief,That isnt funny!
Spider-Man,It is kind of funny.
Car Thief,Come on! Help! Help!
Spider-Man,"Ssh! [Spider-Man shoots another web which lands on the thiefs mouth, shutting him up] [as Spider-Man has the thief wrapped up in his web against the wall, he checks the thiefs wrist for the star tattoo, but sees that hasnt got one] This could have gotten a lot worse. Now, hold still. [Spider-Man cuts a hole in the web across the thiefs mouth so that he can breath, at that moment a cop arrives on his bike] Oh, the boys in blue are here! I got him!"
Car Thief Cop,"[as the cop arrives, he points his gun at Spider-Man] Freeze! You in the tights, dont move!"
Spider-Man,You serious?
Car Thief Cop,Who are you?
Spider-Man,No one seems to grasp the concept of the mask. [Spider-Man moves towards the cop]
Car Thief Cop,"Freeze! [the cop starts shooting at Spider-Man, which Spider-Man easily dodges and then grabs his gun]"
Spider-Man,"I just did eighty percent of your job! Huh? Thats how you repay me? [when the rest of the police arrive, Spider-Man makes a run for it]"
Captain Stacy,"[to the police officers who have failed to capture Peter] Thirty-eight of New Yorks finest, versus one guy in a unitard. Am I correct? [Peter turns up late at home and find his aunt waiting up for him]"
Aunt May,Where were you?
Peter Parker,I was out.
Aunt May,Did you get the eggs?
Peter Parker,Nope. Forgot the eggs! Im gonna get it now.
Aunt May,"No, you most certainly will not! Not at this hour! [Peter turns away from his aunt] Look at me, Peter? Take off the damn hood and look at me. [Peter takes off his hood and turns to face his aunt, his face looking beat up] Where do you go? Who does this to you?"
Peter Parker,"Please go to sleep, Aunt May."
Aunt May,Please tell me.
Peter Parker,"Aunt May, please, please please go to sleep!"
Aunt May,"I cant sleep! Dont you understand? I cant sleep! [theres a moment of silence] Peter, listen to me. Secrets have a cost, theyre not for free. Not now, not ever."
Dr. Curt Connors,Cross-species genetics is finally working. Ive used lizard DNA to help Freddie regrow that limb.
Rajit Ratha,Its a miracle.
Dr. Curt Connors,"No, its hard work and a promise, and its a step closer to the primate lab."
Rajit Ratha,"Ah, but he doesnt have time for every little step."
Dr. Curt Connors,Little?
Rajit Ratha,I just mean he cant wait.
Dr. Curt Connors,"Well, hell have to. Unless he wants to be a lab rat."
Rajit Ratha,Thats not what Im saying.
Dr. Curt Connors,So what are you saying?
Rajit Ratha,"You have to start human trials, now."
Dr. Curt Connors,"No, I dont. And no, I wont."
Rajit Ratha,"Well, then hes going to die."
Dr. Curt Connors,"People die, even Norman Osborn."
Rajit Ratha,We are not finished.
Dr. Curt Connors,Human trials? Where on earth are you gonna find the people to volunteer?
Rajit Ratha,"The wards, as far as anyones concerned, its for a winter flu shot. I might think that veterans hospitals a place to start."
Dr. Curt Connors,You gotta be kidding me?
Rajit Ratha,"I dont think I am. [Connors turns to leave, but Ratha stops him by holding his amputated arm] Its a little late for shock and indignation, Curt. About fifteen years late."
Dr. Curt Connors,Ive no idea what youre talking about?
Rajit Ratha,"Richard Parker wore it well. On you, its a cheap suit, as it was then."
Dr. Curt Connors,I have nothing to do with that.
Rajit Ratha,"Is that what you told his son, Peter?"
Dr. Curt Connors,I dont know what youre saying.
Rajit Ratha,"You dont know, or you dont wanna know? [after Connors has refused to do human trials on the new cross-species genetics formula] [turning to the mouse] Right, Freddie? [Ratha walks out of the Connors office] [Gwen catches Peter in the school hallway]"
Peter Parker,Hows it going?
Gwen Stacy,Where are you headed?
Peter Parker,"Uh...Monday, B-track."
Gwen Stacy,Its Thursday.
Peter Parker,Its Thursday?
Gwen Stacy,What happened to your eye?
Peter Parker,Where?
Gwen Stacy,"Youre eye, it looks bruised."
Peter Parker,"Oh! Yeah, yeah! I dont know. Maybe I got a rash."
Gwen Stacy,Its pretty bad. Have you gone to the nurse?
Peter Parker,Mmhmm.
Gwen Stacy,Do you like branzino? [Peter looks at her blankly] Like the fish?
Peter Parker,"Mmhmm. No, I know. I know. I know."
Gwen Stacy,"Well, if you want, you can come to this address at uh...at eight oclock tonight. [she writes the address on a piece of paper and gives it to Peter] My moms making Branzino, so. [Peter looks at the address] Oh, its apartment twenty sixteen. I didnt...I didnt write that part down. I dont why I didnt. [she turns and laughs]"
Peter Parker,Ill remember it.
Gwen Stacy,"Twenty sixteen. [Gwen walks off to her class] [that evening, Peter shows up outside Gwens bedroom window and knocks on the window] Hi! How did you get out there?"
Peter Parker,The fire escape. Your doormans intimidating.
Gwen Stacy,Thats twenty stories!
Peter Parker,"Yeah, its alright. [Peter enters Gwens room] This is your room?"
Gwen Stacy,"Yes, this is my room."
Peter Parker,"[Peter looks around] Books. Pictures. [Gwen laughs] Oh, hey, uh...I got your mom these. [he takes out a bunch of broken looking flowers from his backpack]"
Gwen Stacy,"Oh, lovely!"
Peter Parker,"Yeah, theyre beautiful, right?"
